device_id,machine_type,line,zone,timestamp,temperature_c,vibration_rms,rpm,pressure_bar,flow_lpm,current_a,oil_temp_c,humidity_pct,power_kw
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:04:40.868169+00:00,61.42,1.823,1478.5,4.24,285.38,28.416,,,10.993
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:04:40.868226+00:00,73.85,2.186,2960.0,7.608,,33.867,68.82,,18.483
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:04:40.868253+00:00,66.91,1.584,10805.9,,,24.178,61.84,,7.606
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:04:40.868278+00:00,83.41,2.529,3520.2,9.753,118.61,40.424,,,22.113
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:04:40.868298+00:00,48.89,1.231,90.7,,,11.423,,58.13,2.137
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:04:50.868948+00:00,62.24,1.833,1487.1,4.29,284.76,28.219,,,11.102
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:04:50.868994+00:00,74.56,2.295,2963.0,7.649,,33.351,69.28,,18.457
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:04:50.869016+00:00,67.62,1.456,10848.7,,,24.629,62.02,,7.69
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:04:50.869034+00:00,83.04,2.636,3530.6,9.873,118.69,40.835,,,21.987
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:04:50.869053+00:00,49.61,1.156,93.7,,,11.735,,57.69,2.487
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:05:20.870053+00:00,62.33,1.823,1487.4,4.31,286.43,28.85,,,11.411
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:05:20.870130+00:00,75.05,2.348,2967.1,7.632,,34.425,69.01,,18.77
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:05:20.870153+00:00,68.21,1.509,10904.3,,,24.519,62.39,,7.732
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:05:20.870173+00:00,84.02,2.817,3534.4,9.884,120.05,41.155,,,22.221
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:05:20.870202+00:00,49.3,1.319,97.1,,,11.767,,58.95,2.318
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:05:40.871310+00:00,62.62,1.915,1483.1,4.219,288.38,29.059,,,11.253
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:05:40.871357+00:00,75.41,2.405,2974.0,7.771,,34.095,69.81,,18.706
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:05:40.871379+00:00,68.45,1.731,10948.6,,,24.654,62.61,,7.743
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:05:40.871398+00:00,83.93,2.854,3540.3,9.883,121.83,41.752,,,22.3
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:05:40.871416+00:00,50.08,1.284,93.1,,,12.823,,59.21,2.679
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:06:10.871958+00:00,63.08,1.985,1487.7,4.287,290.1,28.664,,,11.357
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:06:10.871995+00:00,75.02,2.483,2971.4,7.689,,34.897,69.59,,18.877
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:06:10.872010+00:00,68.75,1.619,11001.9,,,24.784,63.16,,8.153
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:06:10.872023+00:00,84.19,2.913,3536.6,9.878,121.57,41.267,,,22.407
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:06:10.872035+00:00,49.68,1.353,95.9,,,12.334,,58.99,2.621
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:06:20.872546+00:00,63.16,2.035,1491.6,4.364,293.11,29.09,,,11.563
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:06:20.872585+00:00,75.63,2.62,2981.1,7.715,,34.505,70.03,,19.261
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:06:20.872601+00:00,69.39,1.723,11043.7,,,25.262,62.89,,8.13
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:06:20.872615+00:00,84.35,2.957,3539.1,9.978,125.23,42.132,,,22.398
pack-conveyor-501,conveyor_gearmotor,packaging,D1,2026-03-15T10:06:20.872627+00:00,50.29,1.48,92.3,,,12.485,,59.32,2.586
mix-pump-101,centrifugal_pump,mixing,A1,2026-03-15T10:06:40.873357+00:00,63.02,2.052,1497.9,4.344,293.32,29.898,,,11.775
filling-comp-201,air_compressor,filling,B2,2026-03-15T10:06:40.873398+00:00,76.24,2.54,2980.4,7.734,,34.926,69.99,,19.008
cnc-spindle-301,cnc_spindle,machining,C3,2026-03-15T10:06:40.873413+00:00,69.5,1.77,11099.7,,,25.475,62.99,,8.112
boiler-feed-401,boiler_feed_pump,utilities,U1,2026-03-15T10:06:40.873426+00:00,85.0,3.09,3551.5,9.98,125.33,42.533,,,22.676
