device_id,machine_type,window_index,window_start,window_end,anomaly_score,risk_level,temperature_c_mean,temperature_c_std,temperature_c_min,temperature_c_max,vibration_rms_mean,vibration_rms_std,vibration_rms_min,vibration_rms_max,rpm_mean,rpm_std,rpm_min,rpm_max,pressure_bar_mean,pressure_bar_std,pressure_bar_min,pressure_bar_max,flow_lpm_mean,flow_lpm_std,flow_lpm_min,flow_lpm_max,current_a_mean,current_a_std,current_a_min,current_a_max,oil_temp_c_mean,oil_temp_c_std,oil_temp_c_min,oil_temp_c_max,humidity_pct_mean,humidity_pct_std,humidity_pct_min,humidity_pct_max,power_kw_mean,power_kw_std,power_kw_min,power_kw_max
mix-pump-101,centrifugal_pump,1,2026-03-15T10:04:40.868169+00:00,2026-03-15T10:35:10.955505+00:00,0.0,low,62.5872,5.1257,57.09,86.96,2.1051,1.2591,1.166,8.632,1487.7156,38.0359,1442.5,1673.1,4.3101,0.3257,3.79,5.686,283.9159,11.3181,237.39,297.18,28.7964,2.3512,25.006,36.852,,,,,,,,,11.2401,0.8884,9.834,14.282
mix-pump-101,centrifugal_pump,2,2026-03-15T10:12:00.889523+00:00,2026-03-15T10:42:10.980927+00:00,0.0,low,62.923,5.2418,57.09,86.96,1.9567,1.286,1.166,8.632,1482.6781,37.5067,1442.5,1673.1,4.2228,0.3347,3.79,5.686,283.4812,11.213,237.39,297.61,27.7747,2.5062,24.857,36.852,,,,,,,,,10.9399,0.9087,9.807,14.282
mix-pump-101,centrifugal_pump,3,2026-03-15T10:20:20.911391+00:00,2026-03-15T10:50:51.005294+00:00,0.0,low,62.0244,4.0091,57.09,80.74,1.9969,0.9669,1.183,8.233,1480.674,30.034,1442.5,1610.1,4.1753,0.3128,3.79,5.686,284.6398,9.9608,237.39,297.61,28.146,2.3784,24.857,36.852,,,,,,,,,11.221,0.8378,9.807,14.282
mix-pump-101,centrifugal_pump,4,2026-03-15T10:28:00.934109+00:00,2026-03-15T10:58:31.027254+00:00,0.0,low,62.5145,4.9204,57.36,85.58,1.9844,1.2381,1.165,8.233,1487.6792,33.0618,1442.5,1610.1,4.323,0.3494,3.826,5.686,283.2122,10.3792,237.39,297.61,28.5609,2.4342,24.857,36.852,,,,,,,,,11.0071,0.9089,9.807,14.282
mix-pump-101,centrifugal_pump,5,2026-03-15T10:35:20.956432+00:00,2026-03-15T11:07:01.047289+00:00,0.0,low,62.7829,4.2716,57.36,85.58,1.9356,0.8551,1.165,7.187,1484.7906,29.0296,1439.2,1596.4,4.1906,0.307,3.795,5.677,284.7082,8.6423,255.55,297.61,27.5356,2.0988,24.857,35.003,,,,,,,,,11.1027,0.8384,9.807,12.69
mix-pump-101,centrifugal_pump,6,2026-03-15T10:42:20.982382+00:00,2026-03-15T11:15:31.131378+00:00,0.0,low,63.0341,5.0692,57.36,89.52,2.0011,0.9974,1.165,7.187,1481.0073,31.5461,1439.2,1596.4,4.2053,0.3344,3.795,5.677,283.585,8.7341,255.55,297.41,28.6399,2.1391,24.885,35.329,,,,,,,,,11.1256,0.845,9.739,12.69
mix-pump-101,centrifugal_pump,7,2026-03-15T10:51:01.006162+00:00,2026-03-15T11:23:51.311778+00:00,0.0,low,62.568,5.1853,57.36,89.52,1.9306,1.0046,1.165,7.187,1479.1927,30.1559,1439.2,1596.4,4.3061,0.3277,3.795,5.677,284.5497,8.8056,255.55,297.41,27.9957,2.2667,24.719,35.329,,,,,,,,,10.9722,0.8207,9.739,12.69
mix-pump-101,centrifugal_pump,8,2026-03-15T10:58:51.028532+00:00,2026-03-15T11:32:00.872695+00:00,0.0,low,62.3559,4.1351,57.51,89.52,1.9563,0.6398,1.19,7.039,1481.1948,27.53,1439.2,1556.8,4.1635,0.2767,3.795,5.507,284.1159,7.8362,263.99,296.91,27.7587,2.0771,24.719,35.329,,,,,,,,,11.2139,0.7509,9.739,12.515
mix-pump-101,centrifugal_pump,9,2026-03-15T11:07:21.048556+00:00,2026-03-15T11:39:30.905075+00:00,0.0,low,62.7653,4.1939,57.51,89.52,1.9643,0.6387,1.19,7.039,1494.3198,21.8013,1441.6,1556.8,4.2749,0.2831,3.796,5.507,286.6053,7.6923,263.99,297.17,28.6847,1.9998,24.719,35.329,,,,,,,,,11.2339,0.7497,9.739,12.515
mix-pump-101,centrifugal_pump,10,2026-03-15T11:16:01.291418+00:00,2026-03-15T11:48:40.929420+00:00,0.0,low,61.8895,2.7836,57.51,66.42,1.8695,0.3924,1.164,2.42,1504.5802,9.5926,1480.5,1520.3,4.273,0.2476,3.796,4.627,284.5226,7.6677,272.55,297.17,27.8051,1.9111,24.719,31.06,,,,,,,,,11.1568,0.7637,9.742,12.293
mix-pump-101,centrifugal_pump,11,2026-03-15T11:24:11.312840+00:00,2026-03-15T11:57:20.953059+00:00,0.0,low,61.5694,3.7984,56.81,82.13,1.9686,0.791,1.164,8.672,1496.3854,21.5849,1446.3,1587.9,4.1715,0.2693,3.796,5.216,286.1752,7.8264,263.55,297.17,28.1317,1.9667,25.043,34.634,,,,,,,,,11.2557,0.8388,9.742,14.987
mix-pump-101,centrifugal_pump,12,2026-03-15T11:32:20.873538+00:00,2026-03-15T12:06:20.977016+00:00,0.0,low,62.0109,3.6904,56.81,82.13,1.9186,0.8015,1.164,8.672,1482.7062,28.1028,1439.8,1587.9,4.2921,0.2694,3.835,5.216,284.5868,8.052,263.55,297.17,28.6025,1.9886,25.043,34.634,,,,,,,,,11.1539,0.8666,9.742,14.987
mix-pump-101,centrifugal_pump,13,2026-03-15T11:39:50.905949+00:00,2026-03-15T12:16:30.995645+00:00,0.0,low,62.2798,3.8695,56.81,82.13,1.7782,0.8032,1.164,8.672,1478.0844,26.3058,1439.8,1587.9,4.187,0.269,3.776,5.216,284.4439,8.1284,263.55,297.61,27.551,2.0506,24.856,34.634,,,,,,,,,10.8874,0.851,9.742,14.987
mix-pump-101,centrifugal_pump,14,2026-03-15T11:48:50.930163+00:00,2026-03-15T12:24:41.015737+00:00,0.0,low,62.3142,4.9679,56.81,85.49,2.0595,1.1083,1.185,8.672,1483.0958,39.0403,1439.8,1676.8,4.192,0.3138,3.776,5.437,283.8809,10.7215,234.47,297.61,28.3564,2.3548,24.856,36.079,,,,,,,,,11.2596,0.9475,9.771,15.042
mix-pump-101,centrifugal_pump,15,2026-03-15T11:57:30.954124+00:00,2026-03-15T12:33:01.038443+00:00,0.0,low,62.1389,4.4716,57.15,85.49,1.8461,0.9,1.185,7.682,1486.9542,36.5393,1439.8,1676.8,4.2955,0.2888,3.776,5.437,283.8789,10.5609,234.47,297.61,28.3698,2.2793,24.856,36.079,,,,,,,,,10.9303,0.9237,9.746,15.042
mix-pump-101,centrifugal_pump,16,2026-03-15T12:06:50.977913+00:00,2026-03-15T12:40:31.060194+00:00,0.0,low,62.8132,4.4338,57.15,85.49,1.9512,0.8935,1.185,7.682,1486.7427,36.7894,1441.4,1676.8,4.1691,0.2924,3.776,5.437,284.3518,10.6754,234.47,297.61,27.5895,2.2317,24.849,36.079,,,,,,,,,11.1315,0.9404,9.746,15.042
mix-pump-101,centrifugal_pump,17,2026-03-15T12:17:00.996590+00:00,2026-03-15T12:48:01.083082+00:00,0.0,low,62.7647,4.4383,57.15,85.49,1.9166,0.9,1.199,7.682,1482.1427,37.687,1441.4,1676.8,4.1957,0.2878,3.777,5.437,283.658,10.5232,234.47,297.23,28.6667,2.1721,24.849,36.079,,,,,,,,,11.0437,0.9603,9.746,15.042
mix-pump-101,centrifugal_pump,18,2026-03-15T12:25:01.016843+00:00,2026-03-15T12:57:11.104947+00:00,0.0,low,62.0452,4.0198,57.15,83.5,1.8144,0.6205,1.199,6.428,1477.8146,25.9935,1441.4,1578.9,4.2762,0.2678,3.777,5.341,284.922,8.2862,255.54,297.23,27.7896,2.1738,24.849,35.675,,,,,,,,,10.9261,0.8166,9.746,12.286
mix-pump-101,centrifugal_pump,19,2026-03-15T12:33:11.039217+00:00,2026-03-15T13:04:41.127366+00:00,0.0,low,62.6008,4.0035,57.64,83.5,1.9651,0.7217,1.208,6.428,1483.5917,33.8975,1441.4,1670.3,4.1539,0.2747,3.777,5.341,283.7299,8.6329,255.54,296.92,27.9582,2.2893,24.849,35.675,,,,,,,,,11.1663,0.7879,9.802,12.793
mix-pump-101,centrifugal_pump,20,2026-03-15T12:41:01.060941+00:00,2026-03-15T13:13:01.150742+00:00,0.0,low,63.1027,4.1759,57.64,83.5,1.8163,0.7368,1.163,6.428,1486.9021,31.2038,1444.1,1670.3,4.2142,0.2662,3.783,5.341,284.7147,8.5758,255.54,296.92,28.5533,2.2058,24.89,35.675,,,,,,,,,10.8615,0.7679,9.759,12.793
mix-pump-101,centrifugal_pump,21,2026-03-15T12:48:21.084211+00:00,2026-03-15T13:21:11.173978+00:00,0.0,low,63.1736,5.0828,57.64,87.43,2.1002,1.1502,1.163,8.799,1486.2375,37.0484,1441.3,1670.3,4.288,0.3001,3.783,5.341,283.089,9.6422,249.97,296.92,27.6644,2.321,24.805,35.675,,,,,,,,,11.2398,0.8711,9.759,14.513
mix-pump-101,centrifugal_pump,22,2026-03-15T12:57:31.105797+00:00,2026-03-15T13:29:01.197254+00:00,0.0,low,62.7243,4.7541,57.64,87.43,1.9072,1.0921,1.155,8.799,1481.3198,34.4165,1441.3,1670.3,4.1484,0.2925,3.779,5.334,284.4635,9.4465,249.97,296.92,28.532,2.1472,24.805,34.849,,,,,,,,,10.9467,0.9347,9.759,14.513
mix-pump-101,centrifugal_pump,23,2026-03-15T13:04:51.128584+00:00,2026-03-15T13:38:01.218640+00:00,0.0,low,63.1074,4.3537,57.76,87.43,1.9454,1.0092,1.155,8.799,1481.849,30.2175,1441.3,1598.4,4.2282,0.2781,3.779,5.334,283.7516,8.9386,249.97,296.31,28.1586,2.1087,24.805,33.517,,,,,,,,,11.0881,0.9413,9.759,14.513
